Count;Name;Angle;Color;Delta X;Delta Y;Delta Z;End X;End Y;End Z;Hyperlink;Layer;Length;Linetype;Linetype Scale;Lineweight;Plot Style;Start X;Start Y;Start Z;Thickness
1;Line;10.83;ByLayer;24.5824;4.7023;0.0000;11467.8691;9570.1014;0.0000;;L_3;25.0281;ByLayer;1.0000;ByLayer;ByLayer;11443.2866;9565.3991;0.0000;0.0000
1;Line;20.73;ByLayer;29.2729;11.0801;0.0000;11443.2866;9565.3991;0.0000;;L_3;31.2997;ByLayer;1.0000;ByLayer;ByLayer;11414.0137;9554.3190;0.0000;0.0000
1;Line;283.92;ByLayer;27.5249;-111.0945;0.0000;11755.3679;9071.7030;0.0000;;L_10;114.4535;ByLayer;1.0000;ByLayer;ByLayer;11727.8430;9182.7975;0.0000;0.0000
1;Line;55.65;ByLayer;60.5256;88.5708;0.0000;10984.7469;9071.9779;0.0000;;L_10;107.2760;ByLayer;1.0000;ByLayer;ByLayer;10924.2212;8983.4070;0.0000;0.0000
1;Line;56.01;ByLayer;57.1540;84.7707;0.0000;10924.2212;8983.4070;0.0000;;L_10;102.2383;ByLayer;1.0000;ByLayer;ByLayer;10867.0672;8898.6363;0.0000;0.0000
1;Line;55.09;ByLayer;63.8028;91.4420;0.0000;11048.5496;9163.4198;0.0000;;L_10;111.5008;ByLayer;1.0000;ByLayer;ByLayer;10984.7469;9071.9779;0.0000;0.0000
1;Line;52.13;ByLayer;67.0801;86.2522;0.0000;11181.6528;9340.4375;0.0000;;L_10;109.2665;ByLayer;1.0000;ByLayer;ByLayer;11114.5727;9254.1853;0.0000;0.0000
1;Line;53.97;ByLayer;66.0230;90.7655;0.0000;11114.5727;9254.1853;0.0000;;L_10;112.2382;ByLayer;1.0000;ByLayer;ByLayer;11048.5496;9163.4198;0.0000;0.0000
1;Line;56.35;ByLayer;54.1997;81.4344;0.0000;10867.0672;8898.6363;0.0000;;L_10;97.8221;ByLayer;1.0000;ByLayer;ByLayer;10812.8675;8817.2019;0.0000;0.0000
1;Line;57.39;ByLayer;46.6028;72.8552;0.0000;10663.7740;8588.1506;0.0000;;L_10;86.4853;ByLayer;1.0000;ByLayer;ByLayer;10617.1712;8515.2954;0.0000;0.0000
1;Line;57.53;ByLayer;45.7587;71.9019;0.0000;10617.1712;8515.2954;0.0000;;L_10;85.2276;ByLayer;1.0000;ByLayer;ByLayer;10571.4125;8443.3935;0.0000;0.0000
1;Line;57.20;ByLayer;47.8690;74.2851;0.0000;10711.6430;8662.4357;0.0000;;L_10;88.3725;ByLayer;1.0000;ByLayer;ByLayer;10663.7740;8588.1506;0.0000;0.0000
1;Line;56.67;ByLayer;51.6674;78.5747;0.0000;10812.8675;8817.2019;0.0000;;L_10;94.0399;ByLayer;1.0000;ByLayer;ByLayer;10761.2001;8738.6272;0.0000;0.0000
1;Line;56.96;ByLayer;49.5571;76.1915;0.0000;10761.2001;8738.6272;0.0000;;L_10;90.8904;ByLayer;1.0000;ByLayer;ByLayer;10711.6430;8662.4357;0.0000;0.0000
1;Line;304.31;ByLayer;40.6643;-59.5831;0.0000;11627.6860;9451.8412;0.0000;;L_10;72.1369;ByLayer;1.0000;ByLayer;ByLayer;11587.0216;9511.4243;0.0000;0.0000
1;Line;318.24;ByLayer;45.0127;-40.1916;0.0000;11587.0216;9511.4243;0.0000;;L_10;60.3449;ByLayer;1.0000;ByLayer;ByLayer;11542.0090;9551.6158;0.0000;0.0000
1;Line;295.69;ByLayer;36.7414;-76.3692;0.0000;11664.4274;9375.4720;0.0000;;L_10;84.7477;ByLayer;1.0000;ByLayer;ByLayer;11627.6860;9451.8412;0.0000;0.0000
1;Line;286.46;ByLayer;30.1717;-102.1248;0.0000;11727.8430;9182.7975;0.0000;;L_10;106.4886;ByLayer;1.0000;ByLayer;ByLayer;11697.6713;9284.9223;0.0000;0.0000
1;Line;290.16;ByLayer;33.2439;-90.5497;0.0000;11697.6713;9284.9223;0.0000;;L_10;96.4594;ByLayer;1.0000;ByLayer;ByLayer;11664.4274;9375.4720;0.0000;0.0000
1;Line;339.93;ByLayer;49.7864;-18.1946;0.0000;11542.0090;9551.6158;0.0000;;L_10;53.0068;ByLayer;1.0000;ByLayer;ByLayer;11492.2226;9569.8104;0.0000;0.0000
